Cluster,Size,Total,Citations,Avg. APT,95%CI L,95%CI U,Papers,Citations per million dollars of funding per year,95%CI L,95%CI U,Projected 2021 Award,Actual 2021 Award To Date,Growth Rate,95%CI L,95%CI U,Score,Topic,Category,Topic-focused/Method-focused,Centroids,%R01,%U01,%R44,%U24,%R21,%U54,,,,,,,,
75,559,223794030,6.412332213,0.428893875,0.418264054,0.439523697,3788,0.02865283,5.911977443,6.912686983,771004.8113,67508247,0.309814549,0.293548277,0.326080821,-0.028168246,N/A,N/A,N/A,"['neuroimaging', 'symptom', 'woman', 'mri', 'connectivity', 'aging', 'longitudinal', 'psychiatric', 'marker', 'healthy', 'biomarker', 'difference', 'youth', 'heterogeneity', 'neuroscience']",50%,2%,1%,0%,6%,0.001788909,280,10,8,33,280 (50%),10 (2%),8 (1%),33 (6%)
28,470,167590145,6.392145346,0.429172142,0.405087009,0.453257275,761,0.038141535,5.467591644,7.316699048,333900.8241,38986725,0.324063185,0.251386869,0.396739501,-0.010085437,N/A,N/A,N/A,"['device', 'phase ii', 'ii', 'monitoring', 'sensor', 'prototype', 'blood', 'monitor', 'product', 'digital', 'feasibility', 'detect', 'parameter', 'capability', 'generation']",19%,3%,31%,0%,4%,0.006382979,90,16,148,19,90 (19%),16 (3%),148 (31%),19 (4%)
16,321,241056913,6.657185378,0.411384248,0.397154096,0.4256144,2095,0.027616654,5.340082271,7.974288485,331637.9322,127704342,0.39315225,0.354080714,0.432223786,0.254755613,Alzheimer's disease,Neurologic,Topic,"['ad', 'alzheimer', 'alzheimer disease', 'dementia', 'aging', 'progression', 'pathology', 'longitudinal', 'neuroimaging', 'clinical trial', 'stage', 'mri', 'biomarker', 'impairment', 'participant']",55%,5%,2%,2%,7%,0.003115265,176,17,8,21,176 (55%),17 (5%),8 (2%),21 (7%)
42,104,36783357,8.535876875,0.453064516,0.41550918,0.490619852,310,0.232058125,5.355935533,11.71581822,380355.0313,8637729,0.186880155,0.144673833,0.229086477,0.172786942,EEG,Neurologic,Method,"['eeg', 'recording', 'neuroscience', 'sleep', 'event', 'monitoring', 'reliable', 'resolution', 'fmri', 'cortical', 'spatial', 'period', 'mri', 'collected', 'hospital']",41%,4%,19%,0%,7%,0,43,4,20,7,43 (41%),4 (4%),20 (19%),7 (7%)
49,149,55412488,5.541916099,0.42289823,0.39252032,0.45327614,452,0.100012042,4.493742023,6.590090174,79652.39281,16588509,0.379597416,0.328281892,0.43091294,0.157528365,Memory,Neurologic,Topic,"['memory', 'working', 'circuit', 'deficit', 'representation', 'cortex', 'stimulation', 'neuronal', 'fmri', 'animal', 'eeg', 'event', 'alzheimer', 'cortical', 'schizophrenia']",49%,3%,0%,0%,5%,0,73,4,0,8,73 (49%),4 (3%),0 (0%),8 (5%)
72,192,80329648,6.296839118,0.423548922,0.397513192,0.449584652,603,0.078387486,4.784805191,7.808873045,91387.27149,22751279,0.378309043,0.292476556,0.46414153,0.082715633,Motor function,Neurologic,Topic,"['motor', 'stimulation', 'movement', 'recording', 'cortical', 'circuit', 'device', 'parameter', 'injury', 'cortex', 'array', 'action', 'sensor', 'deep', 'activation']",53%,6%,3%,0%,7%,0,101,11,5,14,101 (53%),11 (6%),5 (3%),14 (7%)
27,361,177492200,6.23023949,0.437090484,0.418946661,0.455234306,1282,0.035101483,5.236634838,7.223844143,900357.3567,48538778,0.271642741,0.235828671,0.30745681,0.067362381,Neural circuits,Neurologic,Topic,"['neuron', 'circuit', 'neuronal', 'cortex', 'cortical', 'stimulus', 'cell type', 'animal', 'connectivity', 'motor', 'recording', 'property', 'neuroscience', 'mouse', 'cellular']",55%,6%,1%,0%,6%,0.033240997,199,21,3,21,199 (55%),21 (6%),3 (1%),21 (6%)
52,148,99430729,7.346024276,0.437210158,0.424593788,0.449826529,2717,0.073880825,6.414335189,8.277713363,46075.01017,58555005,0.475307733,0.41526343,0.535352035,0.085694002,Other dementia,Neurologic,Topic,"['dementia', 'alzheimer', 'alzheimer disease', 'pathology', 'ad', 'person', 'aging', 'mri', 'older', 'impairment', 'participant', 'risk factor', 'symptom', 'stage', 'people']",48%,0%,13%,1%,5%,0,71,0,19,8,71 (48%),0 (0%),19 (13%),8 (5%)
51,101,33322539,7.794855389,0.437848606,0.396579676,0.479117536,251,0.233921412,4.071939866,11.51777091,1723.02366,14672184,0.625563776,0.517255334,0.733872219,0.372030039,Sleep,Neurologic,Topic,"['sleep', 'eeg', 'cortical', 'cardiovascular', 'profile', 'recording', 'marker', 'event', 'memory', 'device', 'physiological', 'mouse', 'movement', 'regulation', 'parameter']",37%,0%,10%,0%,11%,0,37,0,10,11,37 (37%),0 (0%),10 (10%),11 (11%)
13,176,88644658,5.88261051,0.376712329,0.351838876,0.401585782,657,0.066361703,4.806631246,6.958589774,89536.75173,30311121,0.410781497,0.385895693,0.435667301,0.278586734,Stroke,Neurologic,Topic,"['stroke', 'recovery', 'acute', 'blood', 'disability', 'motor', 'impairment', 'effectiveness', 'movement', 'deficit', 'mri', 'agent', 'lesion', 'flow', 'difference']",51%,0%,0%,0%,6%,0.005681818,89,0,0,11,89 (51%),0 (0%),0 (0%),11 (6%)
35,265,93105852,8.158490401,0.414574315,0.389582373,0.439566256,693,0.087625968,4.899060663,11.41792014,857386.2478,20790548,0.213731054,0.187358686,0.240103422,0.034583674,Adverse drug events/drug safety,Patient safety,Topic,"['safety', 'surveillance', 'event', 'adverse', 'medication', 'electronic', 'mortality', 'natural language', 'language processing', 'hospital', 'report', 'monitoring', 'healthcare', 'health care', 'temporal']",49%,5%,6%,0%,6%,0,129,12,15,16,129 (49%),12 (5%),15 (6%),16 (6%)
58,115,36108608,5.580038994,0.409307876,0.377572202,0.44104355,419,0.154534869,4.335586983,6.824491005,741787.5453,5978117,0.1234637,0.09319789,0.153729511,0.088309556,Other patient safety,Patient safety,Topic,"['error', 'safety', 'digital', 'electronic', 'event', 'simulation', 'estimate', 'reducing', 'monitoring', 'healthcare', 'report', 'setting', 'clinician', 'concept', 'detect']",63%,0%,7%,0%,4%,0,73,0,8,5,73 (63%),0 (0%),8 (7%),5 (4%)
74,137,64262285,6.89152127,0.439273356,0.411609918,0.466936795,578,0.107240526,5.543538229,8.23950431,4982.124698,29832030,0.611208576,0.51003,0.712387152,0.117663664,Surgical planning,Patient safety,Topic,"['surgical', 'surgery', 'procedure', 'skill', 'planning', 'accurately', 'shape', 'monitoring', 'ct', 'effectiveness', 'significantly', 'candidate', 'tumor', 'safety', 'vivo']",52%,1%,7%,0%,12%,0,71,2,9,17,71 (52%),2 (1%),9 (7%),17 (12%)
25,171,77836693,8.085194834,0.401959248,0.376086286,0.42783221,638,0.103873823,5.055215827,11.11517384,354153.3942,26284964,0.288791533,0.261355992,0.316227074,0.191207584,Older adults,Population health,Topic,"['older', 'older adult', 'aging', 'physical', 'person', 'chronic', 'health care', 'age', 'physical activity', 'social', 'provider', 'depression', 'cardiovascular', 'monitoring', 'clinician']",55%,0%,1%,0%,5%,0,94,0,1,9,94 (55%),0 (0%),1 (1%),9 (5%)
3,63,22415752,6.351791466,0.420603015,0.374237141,0.466968889,199,0.283362854,4.809208629,7.894374304,4014.957104,11197600,0.539956131,0.466394986,0.613517276,0.158020511,Pediatrics,Population health,Topic,"['pediatric', 'child', 'digital', 'hospital', 'decision support', 'ehr', 'acute', 'mri', 'implementation', 'health care', 'electronic', 'chronic', 'clinical trial', 'national', 'conduct']",41%,6%,3%,0%,14%,0,26,4,2,9,26 (41%),4 (6%),2 (3%),9 (14%)
40,151,62881100,8.933119966,0.420341207,0.385414794,0.455267621,381,0.142063672,3.472755888,14.39348405,32939.72477,21538284,0.445510654,0.353426403,0.537594905,0.087036275,Population health screening,Population health,Topic,"['screening', 'woman', 'early detection', 'mortality', 'ct', 'lesion', 'positive', 'electronic', 'interpretation', 'united state', 'united', 'detect', 'candidate', 'implementation', 'guideline']",41%,1%,8%,3%,12%,0.006622517,62,2,12,18,62 (41%),2 (1%),12 (8%),18 (12%)
23,123,43663402,8.181816361,0.438132296,0.414654662,0.46160993,771,0.18738385,6.105325768,10.25830695,7145.169598,22737559,0.549924696,0.494736972,0.605112421,0.211028625,Kidney disease,Renal,Topic,"['kidney', 'chronic', 'progression', 'injury', 'survival', 'biopsy', 'acute', 'syndrome', 'effectiveness', 'failure', 'mortality', 'cardiovascular', 'heterogeneity', 'national', 'award']",47%,0%,3%,0%,11%,0.008130081,58,0,4,13,58 (47%),0 (0%),4 (3%),13 (11%)
76,93,75131908,6.447368392,0.431654676,0.399442403,0.463866949,417,0.085813985,5.077396528,7.817340256,606211.7614,12573440,0.225833473,0.150356977,0.301309969,0.407632839,Asthma,Respiratory,Topic,"['asthma', 'child', 'exposure', 'lung', 'chronic', 'candidate', 'immune', 'gene expression', 'pediatric', 'severe', 'environmental', 'variant', 'healthcare', 'neural network', 'school']",27%,5%,2%,5%,13%,0,25,5,2,12,25 (27%),5 (5%),2 (2%),12 (13%)
21,217,72014449,6.036191829,0.389491525,0.368014739,0.410968312,885,0.083819177,4.92849289,7.143890768,149292.8224,21133363,0.333349591,0.279043241,0.38765594,0.180134754,Lung cancer and COPD,Respiratory,Topic,"['lung', 'ct', 'screening', 'death', 'survival', 'chronic', 'smoking', 'positive', 'injury', 'snp', 'susceptibility', 'biomarker', 'progression', 'marker', 'test hypothesis']",52%,3%,2%,0%,8%,0.004608295,113,6,4,17,113 (52%),6 (3%),4 (2%),17 (8%)
32,149,35235945,6.382887885,0.422079439,0.390470221,0.453688658,428,0.181147061,4.671577279,8.09419849,822051.9225,5690456,0.094527977,0.06689948,0.122156474,0.156170378,Student training and education,Training and education,Method,"['student', 'school', 'course', 'neuroscience', 'skill', 'scientist', 'laboratory', 'career', 'engineering', 'national', 'institute', 'grant', 'content', 'basic', 'artificial']",19%,0%,11%,0%,0%,0,29,0,17,0,29 (19%),0 (0%),17 (11%),0 (0%)
57,113,34940758,6.514760438,0.420819936,0.394920443,0.446719428,622,0.186451606,5.429074404,7.600446472,861762.7917,3669778,0.097309838,0.070211308,0.124408367,0.120783638,Object tracking and recognition,Vision,Topic,"['object', 'visual', 'recognition', 'action', 'theory', 'concept', 'movement', 'representation', 'memory', 'input', 'attention', 'age', 'loss', 'interface', 'cortex']",66%,0%,2%,0%,5%,0.053097345,75,0,2,6,75 (66%),0 (0%),2 (2%),6 (5%)
71,78,25097857,6.781229495,0.451144165,0.419660185,0.482628144,437,0.270191574,5.325463461,8.236995529,122941.3124,5971334,0.259073428,0.174865,0.343281856,0.121687065,Visual impairment,Vision,Method,"['vision', 'visual', 'loss', 'low', 'device', 'people', 'property', 'early detection', 'motion', 'normal', 'sensor', 'engineering', 'person', 'laboratory', 'student']",47%,0%,3%,0%,9%,0,37,0,2,7,37 (47%),0 (0%),2 (3%),7 (9%)
47,168,50365533,6.649363259,0.419096774,0.395681728,0.44251182,775,0.132022097,5.203015387,8.09571113,1236918.253,11172390,0.093897207,0.070966023,0.116828392,0.133509102,Visual processing,Vision,Topic,"['visual', 'stimulus', 'cortex', 'shape', 'vision', 'cortical', 'object', 'property', 'space', 'attention', 'input', 'neuron', 'circuit', 'representation', 'stimulation']",71%,0%,4%,0%,5%,0,120,0,6,9,120 (71%),0 (0%),6 (4%),9 (5%)
