Description,Title,Activity,Organization,Year
Older adults,Frailty and Risk Prediction in Older Adults Considering Kidney Transplantation,R01,JOHNS HOPKINS UNIVERSITY,2017
Older adults,Frailty and Risk Prediction in Older Adults Considering Kidney Transplantation Supp Olorundare,R01,JOHNS HOPKINS UNIVERSITY,2015
Older adults,Statistical methods for vitamin D targets for functional outcomes in older adults,R01,UNIVERSITY OF MARYLAND BALTIMORE,2016
Ontology generation,Protege: A Knowledge-Engineering Environment for Advancing Biomedical Sciences,R01,STANFORD UNIVERSITY,2019
Ontology generation,Services to support the OBO foundry standards,R24,LA JOLLA INSTITUTE FOR IMMUNOLOGY,2019
Ontology generation,Protege: An Ontology-Development Platform for Biomedical Scientists,R01,STANFORD UNIVERSITY,2016
Ontology generation,The ODIE Toolkit - Software for Information Extraction and Biomedical Ontology De,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2010
Ontology generation,Collaborative Development of Biomedical Ontologies and Terminologies,R01,STANFORD UNIVERSITY,2010
Other cancer,Predicting brain tumor progression via multiparametric image analysis and modelin,R01,UNIVERSITY OF PENNSYLVANIA,2018
Other cancer,Systems Microscopy Analysis of Tumor Cell Motility in Microenvironment Context,R00,TEMPLE UNIV OF THE COMMONWEALTH,2017
Other cancer,Molecular Characterization of Parotid Gland Tumors,R56,UNIVERSITY OF CALIFORNIA LOS ANGELES,2012
Other cancer,Molecular interactions and restoration strategies of PTEN and p53 in gliomas,R01,UNIVERSITY OF VIRGINIA,2014
Other cancer,COMPUTING TUMOR DETECTION PERFORMANCE IN MEDICAL IMAGING,K01,UNIVERSITY OF ARIZONA,2004
Other chemical compound characterization,SYSTEM FOR MACHINE READING OF CHEMICAL SYMBOLS,R43,"WESTERN RESEARCH COMPANY, INC.",1988
Other chemical compound characterization,INTELLIGENT SOFTWARE FOR CHEMICAL DIAGRAMS,R44,"COMPUTER HUMAN INTERFACE, INC.",1990
Other chemical compound characterization,KNOWLEDGE-BASED CHEMICAL SYMBOL RECOGNITION SYSTEM,R43,"WESTERN RESEARCH COMPANY, INC.",1993
Other chemical compound characterization,Digital representation of chemical mixtures to aid drug discovery and formulation,R44,"COLLABORATIVE DRUG DISCOVERY, INC.",2020
Other chemical compound characterization,MCASE QSAR Expert System for Salmonella Mutagenicity,R44,"MULTICASE, INC.",2003
Other child development,When cues converge: multiple regularities in language acquisition,F31,UNIVERSITY OF WISCONSIN-MADISON,2008
Other child development,"Infant statistical learning: Resilience, longevity, and specificity",R01,UNIVERSITY OF TENNESSEE KNOXVILLE,2019
Other child development,Continued Development of Infant Brain Analysis Tools,R01,UNIV OF NORTH CAROLINA CHAPEL HILL,2020
Other child development,Social and Statistical Mechanisms of Prelinguistic Vocal Learning,R03,CORNELL UNIVERSITY,2010
Other child development,Linking Statistical Learning to Vocabulary Development,R03,UNIVERSITY OF CALIFORNIA AT DAVIS,2011
Other dementia,Dementia Risk Prediction Pooling Project,R61,NORTHWESTERN UNIVERSITY AT CHICAGO,2020
Other dementia,Identifying Mechanisms of Dementia:  Role for MRI in the Era of Molecular Imaging,R01,MAYO CLINIC ROCHESTER,2010
Other dementia,Changing Talk Online (CHATO): A Pragmatic Trial to Reduce Behavioral Symptoms in Dementia Care,R61,UNIVERSITY OF KANSAS MEDICAL CENTER,2019
Other dementia,CATcare: Cognitive Assistive Technology for Dementia Homecare,R15,OKLAHOMA STATE UNIVERSITY STILLWATER,2019
Other dementia,Social Assistive Robot Interface for People with Alzheimer's and Other Dementias to Aid in Care Management,R44,ADVANCED MEDICAL ELECTRONICS CORPORATION,2019
Other infectious disease,Nosocomial infections: Automated typing and data mining,R43,"MICROBIAL ID, INC.",2001
Other infectious disease,Seroepidemiologic methods to identify hotspots of trachoma and predict future  infection,R03,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2020
Other infectious disease,Seroepidemiologic methods to identify hotspots of trachoma and predict future infection,R03,UNIVERSITY OF CALIFORNIA BERKELEY,2019
Other infectious disease,ANALYSIS OF PROBLEMS IN OCULAR INFLAMMATORY DISEASE,R01,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1985
Other infectious disease,Identifying Risk Factors for Antibiotic Resistance via Integration of Epidemiology and Metagenomics,K01,UNIVERSITY OF TX MD ANDERSON CAN CTR,2020
Other mental health,Estimating Population Effects in Mental Health Research Using Meta-Analysis,R00,DUKE UNIVERSITY,2020
Other mental health,Discovery of Mental Health and Inflammation (MHAIN) Interactome,R01,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2014
Other mental health,Assisted Identification and Navigation of Early Mental Health Symptoms in Youth,R56,KAISER FOUNDATION RESEARCH INSTITUTE,2018
Other mental health,CBTpro: Scaling up CBT for psychosis using simulated patients and spoken language technologies,R42,"LYSSN.IO, INC.",2020
Other mental health,Impact of Telemedicine on Medicare Beneficiaries with Mental Illness,R01,HARVARD MEDICAL SCHOOL,2020
Other patient safety,Reducing Drug Name Confusion With Better Search Software,R44,PHARM I.R.,2008
Other patient safety,MODEL MISSPECIFICATION DETECTION IN DIPOLE ANALYSIS,R43,ABRATECH CORPORATION,1994
Other patient safety,Utility of Predictive Systems to identify Inpatient Diagnostic Errors: The UPSIDE Study,R01,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2020
Other patient safety,Application of a Machine Learning to Enhance e-Triggers to Detect and Learn from Diagnostic Safety Events,R01,BAYLOR COLLEGE OF MEDICINE,2020
Other patient safety,NLP to Improve Accuracy and Quality of Dictated Medical Documents,R01,BRIGHAM AND WOMEN'S HOSPITAL,2017
Pain,Evaluation of Pain in Chronic Pancreatitis using the NAPS2 cohorts,R21,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2015
Pain,CROSSCULTURAL STUDY OF PAIN--PATIENTS AND DENTISTS,R29,UNIVERSITY OF WASHINGTON,1996
Pain,Autonomous Pain Recognition in Non-Verbal and Critically Ill Patients,R21,UNIVERSITY OF FLORIDA,2020
Pain,Molecular Epidemiology of Neuropathic Pain in Head and Neck Cancer,R01,UNIVERSITY OF TX MD ANDERSON CAN CTR,2015
Pain,fMRI-based Biomarkers for Multiple Components of Pain,R01,UNIVERSITY OF COLORADO,2017
Pediatrics,Pediatric sepsis prediction: a machine learning solution for patient diversity,R43,"DASCENA, INC.",2018
Pediatrics,Molecular Genetic Investigation of Pediatric Myelodysplastic Syndrome,R24,BOSTON CHILDREN'S HOSPITAL,2012
Pediatrics,Rule-based Semantics and Big Data Based Methods for Effective Clinical Decision Support (CDS): A Pediatric Severe Sepsis Case Study using ICU Data,R43,"COMPUTER TECHNOLOGY ASSOCIATES, INC.",2017
Pediatrics,Enhancing Quality in Pediatrics Sepsis with Shock Prediction and Early Electronic Decision Support (EQUIP with SPEED),K08,UNIVERSITY OF COLORADO DENVER,2020
Pediatrics,Automatic Rib Fracture Detection in Pediatric Radiography to Identify Non-Accidental Trauma,R21,MICHIGAN STATE UNIVERSITY,2020
Population genetics,Database of Functional SNPs in Cancer-Related Environmentally Responsive Genes,R01,YALE UNIVERSITY,2009
Population genetics,Genome-Wide Association Analysis of Bladder Cancer,U01,UNIVERSITY OF TX MD ANDERSON CAN CTR,2012
Population genetics,Analysis of the Functional Impact of Coding region SNPs,R01,"UNIV OF MARYLAND, COLLEGE PARK",2010
Population genetics,Machine learning to identify predictive SNPs and complex interaction effects,R21,VIRGINIA POLYTECHNIC INST AND ST UNIV,2010
Population genetics,Molecular Genetics of HNPCC,R01,UNIVERSITY OF TX MD ANDERSON CAN CTR,2011
Population health screening,"Improving Critical Congenital Heart Disease Screening and Detection of ""Secondary"" Targets",R21,UNIVERSITY OF CALIFORNIA AT DAVIS,2020
Population health screening,New approaches to optimizing the application and measuring the impact of community-based tuberculosis interventions,DP2,BRIGHAM AND WOMEN'S HOSPITAL,2019
Population health screening,"Familial hypercholesterolemia screening in children: population impact of phenotype, genotype, and cascade approaches",R01,COLUMBIA UNIVERSITY HEALTH SCIENCES,2020
Population health screening,Studying Colorectal Cancer Effectiveness of Screening Strategies (SuCCESS),U54,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,2014
Population health screening,Identifying Receipt of Colorectal Cancer Screening,R21,VANDERBILT UNIVERSITY,2008
Prostate cancer,Prostate Cancer Detection by Serum Proteomic Profiling,R03,UNIVERSITY OF CALIFORNIA IRVINE,2005
Prostate cancer,Genetic & epigenetic analysis of angiogenesis genes in recurrent prostate cancer,R01,H. LEE MOFFITT CANCER CTR & RES INST,2012
Prostate cancer,Gene-Gene Interactions and Their Functional Roles in Prostate Cancer Aggressiveness,R21,LSU HEALTH SCIENCES CENTER,2017
Prostate cancer,MRI Imaging and Biomarkers for Early Detection of Aggressive Prostate Cancer,U01,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2020
Prostate cancer,A Serum Marker for Aggressive Prostate Cancer,R01,STANFORD UNIVERSITY,2010
Protein structure and binding prediction,Protein structural disorder and ubiquitination,R21,ROCKEFELLER UNIVERSITY,2008
Protein structure and binding prediction,Morphometry Biomedical Informatics Research Network,U24,MASSACHUSETTS GENERAL HOSPITAL,2008
Protein structure and binding prediction,Exon recognition during constitutive pre-mRNA splicing,R01,COLUMBIA UNIV NEW YORK MORNINGSIDE,2008
Protein structure and binding prediction,BECKON - Block Estimate Chain: creating Knowledge ON demand & protecting privacy,R00,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2020
Protein structure and binding prediction,A Comprehensive catalog of human DNasel hypersensitive sites,U54,UNIVERSITY OF WASHINGTON,2011
Regulatory genetics,Computational methods for modeling lineage-specific gene regulation,R01,STANFORD UNIVERSITY,2016
Regulatory genetics,Computational Inference of Regulatory Network Dynamics on Cell Lineages,R01,UNIVERSITY OF WISCONSIN-MADISON,2019
Regulatory genetics,Application of MAGNet Tools to Gene Regulatory Networks in Cancer,R01,SLOAN-KETTERING INST CAN RESEARCH,2008
Regulatory genetics,Learning Regulatory Drivers of Chromatin and Expression Dynamics during Nuclear Reprogramming,R01,STANFORD UNIVERSITY,2019
Regulatory genetics,Global Discovery and Validation of Functional Regulatory Elements,R00,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2017
RNA analysis,Programmable RNA-targeting CRISPR-Cas tools to study RNA biology,R35,UNIVERSITY OF ROCHESTER,2020
RNA analysis,Computational genome-wide RNA profiling using next-generation sequencing,R01,UNIVERSITY OF PENNSYLVANIA,2016
RNA analysis,RNA STRUCTURE DETERMINATION WITH COMPARATIVE METHODS,R01,UNIVERSITY OF COLORADO AT BOULDER,1995
RNA analysis,Discovery of Novel RNA Genes in Genomic DNA Sequences,R01,UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,2005
RNA analysis,A Unified Nanopore Platform for Direct Sequencing of Individual Full Length RNA Strands Bearing Modified Nucleotides,R01,UNIVERSITY OF CALIFORNIA SANTA CRUZ,2020
Schizophrenia,Genetic contributions to deficits in adaptive function in schizophrenia,K01,MASSACHUSETTS GENERAL HOSPITAL,2013
Schizophrenia,Spatiotemporal imaging of language in schizophrenia,R01,MASSACHUSETTS GENERAL HOSPITAL,2009
Schizophrenia,Brain abnormality in unaffected family members of schizophrenic patients,R03,UNIVERSITY OF PENNSYLVANIA,2008
Schizophrenia,Application of Advanced Quantitative Methods to Schizophrenia Research in Macedonia,R56,NEW YORK STATE PSYCHIATRIC INSTITUTE,2019
Schizophrenia,Pathway(s) From Genes to Functional Deficits of Schizophrenia Patients,R01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2010
Sleep,Phylogeny of Sleep,R01,BOSTON UNIVERSITY MEDICAL CAMPUS,2007
Sleep,Administrative Supplement for Sleep and Cardiometabolic Health Disparities at the US/Mexico Border: The Nogales Cardiometabolic Health and Sleep (NoCHeS) Study,R01,UNIVERSITY OF ARIZONA,2019
Sleep,Sleep and Cardiometabolic Health Disparities at the US/Mexico Border: The Nogales Cardiometabolic Health and Sleep (NoCHeS) Study,R01,UNIVERSITY OF ARIZONA,2020
Sleep,Cardiovascular implications of sleep characteristics using real-world objective sleep data,R21,UNIVERSITY OF WASHINGTON,2020
Sleep,Genetic Analysis of Sleep Disorders in Zebrafish,R00,CALIFORNIA INSTITUTE OF TECHNOLOGY,2009
Small molecule interactions,Ab-Initio Geometry Optimization of Large Molecules,R43,"Q-CHEM, INC.",2003
Small molecule interactions,Machine Learning in Chemistry and Biology,R01,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2009
Small molecule interactions,Reconstruction of heterogeneous and small macromolecules by cyro-EM,R01,PRINCETON UNIVERSITY,2020
Small molecule interactions,Systematic Discovery of Bioactivation-Associated Structural Alerts,R01,WASHINGTON UNIVERSITY,2020
Small molecule interactions,Binding-Site Modeling with Multiple-Instance Machine-Learning,R01,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016
Social media and social behavior,Delineating proactive social behaviors in dynamic and multidimensional social space,R21,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2020
Social media and social behavior,Dynamics of Large-Scale Networks During Emotional and Social Processing,R01,"UNIV OF MARYLAND, COLLEGE PARK",2020
Social media and social behavior,Neural Circuit Mechanisms of Social Homeostasis in Individuals and Supraorganismal Social Groups,DP1,SALK INSTITUTE FOR BIOLOGICAL STUDIES,2019
Social media and social behavior,Studying how the hippocampal-prefrontal-hypothalamic circuit encodes social dominance,K99,SALK INSTITUTE FOR BIOLOGICAL STUDIES,2020
Social media and social behavior,Supplementing Survey-Based Analyses of Group Vaccination Narratives and Behaviors Using Social Media,R01,GEORGE WASHINGTON UNIVERSITY,2019
Speech,Speech Prosody and Articulatory Dynamics in Spoken Language,R01,UNIVERSITY OF SOUTHERN CALIFORNIA,2016
Speech,Perception of dysarthric speech: An objective model of dysarthric speech evaluation with actionable outcomes,R01,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,2020
Speech,The role of amplitude modulation in perceiving speech and music,F32,NEW YORK UNIVERSITY,2019
Speech,Objectively Quantifying Speech Outcomes of Children with Cleft Palate,R21,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,2019
Speech,Speech segregation to improve intelligility of reverberant-noisy speech,R01,OHIO STATE UNIVERSITY,2020
Stroke,Biomarker panel to differentiate stroke from stroke mimic,R43,"PREDICTION SCIENCES, LLC",2008
Stroke,Fast and Easy Assessment of Stroke,R43,"ALVA HEALTH, INC.",2019
Stroke,Sleep apnea after stroke: Implications for screening and treatment,R01,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2019
Stroke,Whole Transcriptome Studies of Patients with Transient Ischemic Attacks (TIAs),R01,UNIVERSITY OF CALIFORNIA AT DAVIS,2019
Stroke,MEDIC ONE STROKE SCALE,K23,UNIVERSITY OF WASHINGTON,2003
Student training and education,Initiative for Maximizing Student Development,R25,UNIVERSITY OF MIAMI CORAL GABLES,2007
Student training and education,MUSC Minority Student Development Program,R25,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2008
Student training and education,Summer Institute in Geriatric Medicine,R13,BOSTON UNIVERSITY MEDICAL CAMPUS,2015
Student training and education,Building a classroom game economy to improve mathematical reasoning and prepare K-5 students for success in STEM learning,R44,"TEACHLEY, LLC",2020
Student training and education,IPREP: IUPUI Graduate Preparation for the Biomedical and Behavioral Sciences.,R25,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2020
Suicidality,"Predicting Self-Harm, Suicide Attempt, and Suicidal Death using Longitudinal EHR, Claims and Mortality Data",R01,WEILL MEDICAL COLL OF CORNELL UNIV,2020
Suicidality,Predictive modeling: the role of opioid use in suicide risk,R01,KAISER FOUNDATION RESEARCH INSTITUTE,2020
Suicidality,Digital Monitoring of Agitation for Short-Term Suicide Risk Prediction,K23,MASSACHUSETTS GENERAL HOSPITAL,2020
Suicidality,Using multimodal imaging and the RDoC framework to predict risk factors for suicide attempt,R03,YALE UNIVERSITY,2020
Suicidality,Statistical Methods for Predicting Suicide Attempt,K25,COLUMBIA UNIVERSITY HEALTH SCIENCES,2009
Surgical planning,Outcome-Driven Approach to Minimize the Risks of Facial Distortion Following CMF Surgery,R01,METHODIST HOSPITAL RESEARCH INSTITUTE,2020
Surgical planning,3D Telestration for Robotically Assisted Surgery,R41,"INTUITIVE SURGICAL, INC.",2004
Surgical planning,Quantifying the Metrics of Surgical Mastery: An Exploration in Data Science,R01,STANFORD UNIVERSITY,2020
Surgical planning,Real-time non-intrusive workload monitoring-Integration of human factors in surgery training and assessment,R21,PURDUE UNIVERSITY,2020
Surgical planning,Intelligent Virtual Reality Curriculum for Personalized Surgical Training,R43,"OSSO VR, INC.",2019
Text mining,Beyond Abstracts:  Issues in Mining Full Texts,R01,UNIVERSITY OF COLORADO DENVER,2008
Text mining,Linking Text Mining and Data Mining for Biomedical Knowledge Discovery,G08,UNIVERSITY OF DELAWARE,2012
Text mining,Evidence-based Strategy and Tool to Simplify Text for Patients and Consumers,R01,UNIVERSITY OF ARIZONA,2018
Text mining,Advancing Literature Mining through Image Processing and Analysis,R01,YALE UNIVERSITY,2011
Text mining,Incorporating Image-based Features into Biomedical Document Classification,R01,UNIVERSITY OF DELAWARE,2020
Trauma,Measuring post-arrest neurologic injury via nanofluidic assay of brain-derived exosomal RNA,R21,UNIVERSITY OF PENNSYLVANIA,2019
Trauma,NUTRIENT ESSENTIAL FATTY ACIDS & GASTRIC MUCOSAL INJURY,R01,UNIVERSITY OF CALIFORNIA IRVINE,1986
Trauma,Leveraging Artificial-Intelligence to Profile and Enhance Phenotypic Plasticity for Second Injury Prevention: An Innovative Precision Medicine Platform to Revolutionize Injury Care,R21,UNIV OF NORTH CAROLINA CHAPEL HILL,2020
Trauma,A nanomagnetic platform technology to characterize traumatic brain injury using brain derived extracellular vesicles,R33,UNIVERSITY OF PENNSYLVANIA,2020
Trauma,Machine learning to inform health services and policy for traumatic brain injury,R01,UNIVERSITY OF TORONTO,2020
Unspecified classification models,COMPONENT BASED TOOLS FOR CONNECTIONIST CLASSIFICATION,R01,BRIGHAM AND WOMEN'S HOSPITAL,1999
Unspecified classification models,WAVELET-BASED AUTOMATED CHROMOSOME IDENTIFICATION,R44,"ADVANCED DIGITAL IMAGING RESEARCH, LLC",2000
Unspecified classification models,CLASSIFICATION OF NURSING-SENSITIVE PATIENT OUTCOMES,R01,UNIVERSITY OF IOWA,1997
Unspecified classification models,WAVELET BASED AUTOMATED CHROMOSOME IDENTIFICATION,R43,"PERCEPTIVE SCIENTIFIC INSTRUMENTS, INC.",1997
Unspecified classification models,Position Sensitive P-Mer Frequency Clustering with Applications to Classification,R21,SOUTHERN METHODIST UNIVERSITY,2012
Visual impairment,Benefit Assessment Tools for Substitute Prosthetic Regenerative and Ultra-Low Vision,R01,JOHNS HOPKINS UNIVERSITY,2020
Visual impairment,Mid-Level Vision Systems for Low Vision,R01,UNIVERSITY OF SOUTHERN CALIFORNIA,2011
Visual impairment,Addressing Low Vision due to Severe Peripheral Field Loss: Development and Validation of a Patient-Centered Outcome Measure,K23,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2020
Visual impairment,A software tool for objective identification of concussion-related vision disorders using a novel eye-tracking device,R41,"OCULOGICA, INC.",2018
Visual impairment,NRI: An Egocentric Computer Vision based Active Learning Co-Robot Wheelchair,R01,STEVENS INSTITUTE OF TECHNOLOGY,2017
Visual processing,Towards cortical visual prosthetics,R21,BOSTON CHILDREN'S HOSPITAL,2010
Visual processing,Cue Reliability and Depth Calibration During Space Perception,R01,STATE COLLEGE OF OPTOMETRY,2011
Visual processing,Learning and updating internal visual models,R01,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2017
Visual processing,Representation of information across the human visual cortex,R01,UNIVERSITY OF CALIFORNIA BERKELEY,2018
Visual processing,Improving the quality of visual developmental EEG data with eye tracking,R03,UNIVERSITY OF TEXAS DALLAS,2010
Wearable devices and mobile technology,Smartband/smartphone-based automatic smoking detection and real time mindfulness intervention,R34,YALE UNIVERSITY,2020
Wearable devices and mobile technology,Developing Objective Assessment of Physical Activity and Sedentary Behavior for Adults with Down Syndrome,R15,MISSISSIPPI STATE UNIVERSITY,2019
Wearable devices and mobile technology,An Intelligent Physical Activity Monitor,R43,"CREARE, INC.",2006
Wearable devices and mobile technology,Promoting Physical Activity in Latinas via Interactive Web-based Technology,R01,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",2015
Wearable devices and mobile technology,A cutting edge approach to assessing physical activities occurring on sidewalks/streets,R21,UNIVERSITY OF DELAWARE,2019
