pmid,year,title,authors,journal,is_research_article,relative_citation_ratio,nih_percentile,human,animal,molecular_cellular,apt,is_clinical,citation_count,citations_per_year,expected_citations_per_year,field_citation_rate,provisional,x_coord,y_coord,cited_by_clin,cited_by,references,doi
6190568,1990,Computational techniques for vertex partitioning of graphs.,"X Y Liu, K Balasubramanian, M E Munk",J Chem Inf Comput Sci,Yes,0.17,8.4,0.0,0.0,0.0,0.05,No,5,0.16129032258064516,0.9489231390621555,4.267335860630537,No,0.0,-0.75,,"[12767131, 34469167, 11206372, 16082661, 16426039]",[],10.1021/ci00067a009
6957100,1990,Studies of performance of antiscatter grids in digital radiography: effect on signal-to-noise ratio.,"H P Chan, K L Lam, Y Z Wu",Med Phys,Yes,2.57,81.9,0.0,0.0,0.0,0.25,No,37,1.1935483870967742,0.4640222080093062,1.712042939477768,No,0.0,-0.75,,"[21971637, 28557801, 22089021, 20227885, 25017397, 15507421, 8873031, 21361171, 15551537, 11511893, 1584148, 32353690, 17921585, 7852042, 22872419, 17671340, 11116175, 34270103, 8088973, 7700192, 25571914, 7995706, 17568538, 31410861, 10076989, 8293261, 26540441, 16696488, 10902559, 19887717, 10070800, 21859031, 27051166, 19999338, 7476711, 8208219, 11064649]","[6867113, 3969487, 4033591, 3561336, 6352554, 7111390, 3683302, 6340160, 7350609, 6867102]",10.1118/1.596496
7329734,1990,Alignment of protein sequences using secondary structure: a modified dynamic programming method.,"F Fischel-Ghodsian, G Mathiowitz, T F Smith",Protein Eng,Yes,0.42,22.3,0.14,0.14,0.71,0.05,No,14,0.45161290322580644,1.0879513626279906,4.999975896496965,No,-0.4948716593053935,-0.2857142857142857,,"[10211821, 11159310, 2059837, 9681866, 1409565, 16487481, 18789769, 17205117, 10463075, 7920269, 8771180, 10906342, 15319470, 12490451]","[6244618, 3656444, 7265238, 7334527, 3162770, 2448477, 6609071, 6318314, 4368490, 7373651, 5420325, 6602946, 3507699, 6572363, 2451786, 3453230]",10.1093/protein/3.7.577
7027857,1990,Decision support and outcomes of nurses' care planning.,"J Norris, J Cuddigan, M Foyt, G Leak, L Lazure",Comput Nurs,Yes,0.35,18.5,1.0,0.0,0.0,0.05,No,3,0.0967741935483871,0.27763824960721567,0.7298513637940616,No,0.0,1.0,,"[19825114, 10197938, 8148602]",[],
7020518,1990,Systematic delineation of scan modes in multidimensional mass spectrometry.,"J C Schwartz, A P Wade, C G Enke, R G Cooks",Anal Chem,Yes,3.53,88.5,0.0,0.0,0.0,0.05,No,90,2.903225806451613,0.8232603494107251,3.605127940857309,No,0.0,-0.75,,"[12717747, 10866608, 11857758, 24700087, 16787159, 16478119, 24203242, 18969023, 16402776, 11857760, 25763644, 15329837, 23675580, 21451865, 24349920, 24203075, 24222055, 21472609, 25752846, 28644622, 16771547, 34232037, 9449829, 28577288, 11838016, 24235006, 22638968, 12433075, 10937792, 25702273, 12219932, 28656689, 11948821, 25682245, 20419245, 1699276, 27120110, 11180650, 20574587, 11375007, 23181824, 11444608, 11142356, 10679981, 11212000, 20530836, 1420378, 1605578, 29894228, 14998542, 30311922, 33561466, 29955720, 14991681, 15347803, 11712257, 12648924, 7696704, 12098272, 18063384, 16087345, 16075109, 32397650, 18672410, 12939483, 10589092, 33889055, 32281791, 8496704, 15923125, 21952760, 22996621, 15307768, 24234495, 11506227, 29536414, 19117807, 12648931, 21644742, 16255061, 15838939, 10962495, 23147832, 18683895, 19178148, 18491852, 21289855, 14598011, 28966899, 23180738]","[6353576, 3518060, 18963994, 3239794, 3046415, 3789400, 2520240, 3462691]",10.1021/ac00216a016
6084969,1990,Multicategory classification of body surface potential maps.,"Y Reich, C W Thomas, Y H Pao, J Liebman, Y Rudy",IEEE Trans Biomed Eng,Yes,0.0,0.0,1.0,0.0,0.0,0.05,No,0,0.0,0.2849702084760632,0.7684887459807074,No,0.0,1.0,,[],"[6650405, 650891, 21869156, 7106791, 709752, 3746149, 6826192, 3733124, 7132453, 371417, 4028380, 7299998, 6453669, 6453670, 4930411, 3655591, 6500591, 512529, 21869380, 3998644, 6481281, 512534, 21868897, 6756117, 680756, 2951472, 3840830, 6502050, 6699525]",10.1109/10.102807
4052223,1990,QRS onset and offset detection accuracy improvement by additional spatial information in body surface potential maps.,"G Sun, C W Thomas, J Liebman",J Electrocardiol,Yes,0.05,2.6,1.0,0.0,0.0,0.05,Yes,2,0.06451612903225806,1.4077789899768218,6.685378459818671,No,0.0,1.0,,"[7959810, 18817924]","[7264502, 181175, 3980028, 7471349, 6502050]",10.1016/0022-0736(90)90118-l
4052223,1990,The epidemiology of trachoma predicts more blindness in the future.,"J Schachter, C R Dawson",Scand J Infect Dis Suppl,Yes,1.15,55.5,1.0,0.0,0.0,0.25,No,39,1.2580645161290323,1.0938959664882444,5.031302303996703,No,0.0,1.0,[8102427],"[10992442, 1630354, 12152798, 11829725, 15516569, 8641784, 19460133, 11246138, 19859534, 19893744, 9009339, 10212143, 8546843, 14507864, 18177205, 21966270, 15789056, 20015396, 8837610, 10748893, 18175788, 9395364, 10995092, 11976304, 10535853, 10802143, 23882139, 9393782, 8435420, 14625588, 27463616, 14741161, 23541981, 29382248, 11168000, 8757864, 9393830, 9784545, 8102427]","[626267, 3712696, 4070905, 3500801, 6874078, 3571982, 2926323, 2757994, 3572039, 3411148, 1276112, 7252266, 5128614, 3058819, 775692, 831128]",
6950623,1990,The frequency and significance of additional self-reported psychiatric diagnoses in children with attention deficit disorder.,"R L Livingston, R A Dykman, P T Ackerman",J Abnorm Child Psychol,Yes,1.19,56.8,1.0,0.0,0.0,0.25,No,21,0.6774193548387096,0.5699488413244834,2.270246809460267,No,0.0,1.0,,"[10986812, 11202104, 11211363, 11548968, 17085629, 8655658, 1419869, 10795853, 15495544, 20978271, 18596302, 9145356, 20354233, 11982546, 19729235, 7805432, 8407768, 1564019, 19345933, 9534087, 8018551]","[7175040, 3579504, 7398452, 489853, 3056070, 3667494, 3584010, 3312159]",10.1007/BF00911102
4003966,1990,An expert system for the nutritional management of the critically ill.,"R B Fraser, S Z Turney",Comput Methods Programs Biomed,Yes,0.22,10.9,1.0,0.0,0.0,0.05,No,4,0.12903225806451613,0.5978808734337507,2.4174408430275975,No,0.0,1.0,,"[12386493, 16834567, 29351894, 22789390]","[6766297, 4055556, 6423911, 3343796]",10.1016/0169-2607(90)90040-g
7165181,1990,"Why the standard view is standard: people, not machines, understand patients' problems.",R A Miller,J Med Philos,No,1.39,62.6,0.0,0.0,0.0,0.25,No,28,0.9032258064516129,0.649177437111871,2.6877594538035314,No,0.0,-0.75,[9391932],"[19672686, 15227551, 9391932, 19665579, 31980099, 20564067, 30866728, 9313024, 9291026, 1643846, 20405092, 7719792, 18724877, 18724879, 28184065, 24139626, 10075133, 29279238, 28772309, 15802487, 8190157, 34372852, 10927970, 21970731, 15512973, 10886483, 30445910, 11797500]","[2407929, 2290071, 3931972, 6374372, 3094664, 6339661, 480542, 2695783, 3883869, 4037559, 2653156, 6691639, 3295150, 7383090, 3736379, 3295316, 3544509, 7048091, 3981589]",10.1093/jmp/15.6.581
4003966,1990,Automatic generation of primary sequence patterns from sets of related protein sequences.,"R F Smith, T F Smith",Proc Natl Acad Sci U S A,Yes,5.24,93.9,0.0,0.0,1.0,0.05,No,247,7.967741935483871,1.5204341331373727,7.279039703620724,No,-0.8660254037844386,-0.5,[9445059],"[1669287, 2184370, 10222408, 11496000, 7971946, 13677335, 9278056, 7559465, 8594578, 8019865, 10231575, 1555769, 7768953, 8254752, 9173872, 10404625, 9705509, 1512267, 31843757, 1542646, 1438297, 1542576, 2176881, 26952212, 9672827, 10368278, 15980468, 8383109, 8627686, 7690465, 2292186, 8283480, 8710836, 1652100, 1438158, 17565494, 7655077, 10584071, 8683587, 8308018, 12376507, 8736526, 9013889, 2172962, 11328851, 14980012, 8415664, 14552658, 7666445, 8462988, 11813105, 16221553, 1740687, 8324636, 8985398, 8309929, 12612838, 10698963, 11725046, 1862081, 31530634, 9445059, 17049409, 14599665, 7511453, 8795038, 10501972, 2124684, 9223186, 9154802, 1764048, 9416613, 1836192, 8078398, 8515448, 8682198, 1621093, 8298459, 2188136, 1731906, 15668398, 9367124, 1904096, 9672833, 1730639, 8794346, 8987461, 7583634, 10383472, 8264244, 1351742, 8001814, 2071154, 2187795, 1655803, 1881864, 8090199, 10574929, 1774068, 9146957, 11423010, 8170920, 8211139, 8241149, 19200389, 9032316, 1631044, 1633566, 8819157, 12374806, 1339435, 9829972, 16949346, 7592418, 1734974, 8084005, 8510930, 1867715, 9753469, 8327481, 8355272, 1920435, 8143162, 1943692, 9039264, 7765837, 1317076, 9472029, 21689434, 8293320, 9022081, 1918072, 1568121, 22271798, 16749184, 10421526, 10545201, 2176240, 8052532, 8132674, 14702404, 1754394, 8520485, 8288239, 1390752, 8464881, 1654564, 8003031, 15119965, 8453370, 10829228, 11178916, 2231712, 9071585, 12581652, 11969410, 8445659, 7713493, 1498693, 9153083, 9600885, 7991589, 11300769, 8350346, 10331264, 8111135, 1544403, 8561847, 9132271, 8567189, 8302219, 9745011, 8871566, 10867707, 8019419, 1920614, 8332532, 1922361, 9478926, 15629048, 7937068, 1846973, 10791819, 1591248, 9665844, 1783373, 1849136, 2490912, 1409561, 8670621, 9096955, 2123860, 8778301, 1965952, 8293956, 9396791, 8743324, 8481825, 7987226, 11156991, 12664264, 12826723, 17623841, 9545449, 11391014, 1571197, 8825082, 1608976, 10463075, 9642096, 7494636, 8234244, 8298461, 8663048, 9852219, 1339441, 12369918, 8727317, 8481821, 1498686, 1569550, 8188249, 2271624, 2017436, 8905155, 16689206, 8626529, 9704087, 8324637, 8015556, 9799556, 22793672, 2196570, 8205838, 8415653, 2242161, 7933130, 1846140, 8330685, 8069296, 8501034, 19482604, 1913211, 9416619, 12887057, 9070452, 7937065]","[2535748, 3088284, 3656444, 6546419, 3162770, 512, 2845364, 3656439, 3011602, 3333729, 2835076, 3430622, 3291115, 3945547, 3871073, 3072565, 3550471, 7265238, 3474607, 6748696, 3546302, 6572363, 5967094]",10.1073/pnas.87.1.118
6162305,1990,Temporal order and tactile patterns.,"J C Craig, B H Xu",Percept Psychophys,Yes,1.21,57.4,1.0,0.0,0.0,0.25,No,37,1.1935483870967742,0.9866687021939464,4.466244470820602,No,0.0,1.0,[16822134],"[19352639, 7596748, 28824486, 12699311, 16875233, 17983768, 18053216, 8323106, 14714810, 26843600, 15035332, 32232731, 29523834, 10352561, 20550268, 15957781, 1508627, 29282652, 31099240, 24151185, 18435849, 12063139, 15151159, 18394520, 15603161, 11757881, 27788098, 24592252, 7823184, 34454251, 20300931, 26614100, 12430823, 2030933, 23183636, 20045891, 16822134]","[2710635, 5090925, 7167351, 6657446, 3696946, 3684486, 3834395, 13907740, 3882802, 2940320, 7177760, 232572]",10.3758/bf03208161
7469201,1990,Protein sequence database.,"W C Barker, D G George, L T Hunt",Methods Enzymol,Yes,0.71,37.8,0.0,0.67,0.33,0.05,No,36,1.1612903225806452,1.6388254680539278,7.902929081150353,No,0.28867513459481287,-0.5,,"[1900535, 7549879, 8483166, 7703851, 1475178, 8439290, 1871603, 8374072, 7765061, 2251125, 2134734, 1774068, 1913817, 1660812, 10428368, 8433378, 8064334, 8036164, 7610480, 1377638, 1959654, 8790452, 1978939, 1946347, 2041808, 1304365, 2251251, 1375994, 1478671, 2081603, 9514730, 1771233, 8358300, 8282693, 1607012, 8485583]","[3656439, 3449852, 875032, 3587366, 6347043, 3281141, 17746244, 3072565, 3353227]",10.1016/0076-6879(90)83005-t
